original_filename,name,method
"aus_Fotoprojekt_1okissleggerfrauen_Foto_Henry.M.Linder.jpg","Foto Henry",file_pattern_b
"Susanne Hammer gekürzt.docx","Susanne Hammer",file_pattern_b
"Huber_Gebaeude_aussen_Foto_Henry.M.Linder.jpg","Huber Gebaeude",file_pattern_b
"Hammer_Geometric_Exercises2019_Melamin_Textil__Foto_Hammer.jpg","Hammer Geometric",file_pattern_b
"Hammer_Slanted_cuts2013_Aluminium_eloxiert_Foto_Atelier_Olschinsky.jpg","Hammer Slanted",file_pattern_b
"Text_Art_Aurea.docx","Text Art Aurea",file_pattern_b
"Art_Aurea.pdf","Art Aurea",file_pattern_b
"Hammer_Foldings2020_Kupfer_mit_historischer_Patina_Foto_Hammer.jpg","Patina Foto",file_pattern_b
"Huber_Werkstatt2_Foto_Wolfgang.Huber.jpg","Foto Wolfgang",file_pattern_b
"Hammer_Slanted_cuts2013_Acrylglas_Foto_Atelier_Olschinsky.jpg","Hammer Slanted",file_pattern_b
"Hammer_Fault_lines2012_Holz_Kunstharz_Foto_Hammer.jpg","Hammer Fault",file_pattern_b
"53_Karoline Hjort and Riita Ikonen_Inger_photo by Karoline Hjort and Riita Ikonen.jpg","Karoline Hjort",file_pattern_b
"26_Ivana Králíková photo by Vegard Kleven.jpg","Ivana Králíkov",file_pattern_b
"605-1_Earth_Wind_Fire_Water_d.pdf","Earth Wind",file_pattern_b
"7_Alma Heikkilä_Photo by Eivind Lauritzen-2.jpg","Alma Heikkilä Photo",file_pattern_b
"18_Britta Marakatt-Labba_Kosmos photo by Vegard Kleven.jpg","Britta Marakatt Labba Kosmos",file_pattern_b
"14_Ebba Bohlin photo by Vegard Kleven.jpg","Ebba Bohlin",file_pattern_b
"34_Hildur Bjarandóttir photo by Vegard Kleven.jpg","Hildur Bjarandóttir",file_pattern_b
"44_Pekka Paikkari photo by Vegard Kleven.psd","Pekka Paikkari",file_pattern_b
"39_Ida Wieth photo by Eivind Lautitzen.jpg","Ida Wieth",file_pattern_b
"12_Charlotta Östlund photo by Vegard Kleven.psd","Charlotta Östlund",file_pattern_b
"10_Karoline Hjort and Riita Ikonen_Karin_photo by Karoline Hjort and Riita Ikonen.jpg","Karoline Hjort",file_pattern_b
"52_FFB_fasadeverk photo by Eivind Lautitzen.jpg","Eivind Lautitzen",file_pattern_b
"44_Pekka Paikkari photo by Vegard Kleven.jpg","Pekka Paikkari",file_pattern_b
"24_Christine Cynn_Valentin Manz photo by Vegard Kleven.jpg","Christine Cynn Valentin Manz",file_pattern_b
"12_Charlotta Östlund photo by Vegard Kleven.jpg","Charlotta Östlund",file_pattern_b
"AA42_komplett-Pekka Paikka.icml","Pekka Paikka",file_pattern_b
"AA42_komplett-Mario Pint-1.icml","Mario Pint",file_pattern_b
"AA42_komplett-Die Schmucka.icml","Die Schmucka",file_pattern_b
"AA42_komplett-Mikiko Min-1.icml","Mikiko Min",file_pattern_b
"AA42_komplett-Michael Schi.icml","Michael Schi",file_pattern_b
"AA42_komplett-Art Aurea is.icml","Art Aurea",file_pattern_b
"AA42_komplett-Earth Wind-2.icml","Earth Wind",file_pattern_b
"AA42_komplett-Mario Pint-2.icml","Mario Pint",file_pattern_b
"AA42_komplett-Ein Ring ist.icml","Ein Ring",file_pattern_b
"AA42_komplett-Die Norweger.icml","Die Norweger",file_pattern_b
"AA42_komplett-Big Jar Earl.icml","Big Jar Earl",file_pattern_b
"AA42_komplett-Otto Künzli .icml","Otto Künzli",file_pattern_b
"AA42_komplett-Mikiko Minew.icml","Mikiko Minew",file_pattern_b
"AA42_komplett-Mit Bezug au.icml","Mit Bezug",file_pattern_b
"AA42_komplett-Inhalt  Ta-1.icml","Inhalt Ta",file_pattern_b
"AA42_komplett-Marjorie Sch.icml","Marjorie Sch",file_pattern_b
"AA42_komplett-Karl Frits-1.icml","Karl Frits",file_pattern_b
"AA42_komplett-Der Schmuckk.icml","Der Schmuckk",file_pattern_b
"AA42_komplett-Dorothea Prü.icml","Dorothea Pr",file_pattern_b
"AA42_komplett-Tone Vigelan.icml","Tone Vigelan",file_pattern_b
"AA42_komplett-Hermann Jüng.icml","Hermann Jüng",file_pattern_b
"AA42_komplett-Karl Fritsch.icml","Karl Fritsch",file_pattern_b
"AA42_komplett-Anni Albers.icml","Anni Albers",file_pattern_b
"AA42_komplett-Die Linsen a.icml","Die Linsen",file_pattern_b
"AA42_komplett-Danner Pri-1.icml","Danner Pri",file_pattern_b
"AA42_komplett-Earth Wind-1.icml","Earth Wind",file_pattern_b
"AA42_komplett-Lisa Walker.icml","Lisa Walker",file_pattern_b
"AA42_komplett-Mikiko Min-3.icml","Mikiko Min",file_pattern_b
"AA42_komplett-Alle Näharbe.icml","Alle Näharbe",file_pattern_b
"AA42_komplett-Art Aurea al.icml","Art Aurea",file_pattern_b
"AA42_komplett-Inhalt  Tabl.icml","Inhalt Tabl",file_pattern_b
"AA42_komplett-Mario Pinton.icml","Mario Pinton",file_pattern_b
"AA42_komplett-Charlotta Ös.icml","Charlotta Ös",file_pattern_b
"AA42_komplett-Anzeigen  Ad.icml","Anzeigen Ad",file_pattern_b
"AA42_komplett-Das Wohnha-1.icml","Das Wohnha",file_pattern_b
"AA42_komplett-Anni Albers .icml","Anni Albers",file_pattern_b
"AA42_komplett-Mikiko Min-2.icml","Mikiko Min",file_pattern_b
"AA42_komplett-Jiro Kamata .icml","Jiro Kamata",file_pattern_b
"AA42_komplett-Die Danner-1.icml","Die Danner",file_pattern_b
"AA42_komplett-Earthen Beau.icml","Earthen Beau",file_pattern_b
"AA42_komplett-Die Messerfe.icml","Die Messerfe",file_pattern_b
"AA42_komplett-Otto Künzl-1.icml","Otto Künzl",file_pattern_b
"Schramm - Buchstabenturm.jpg","Schramm Buchstabenturm",file_pattern_b
"Schramm - Drei Vier Federn.jpg","Schramm Drei Vier Federn",file_pattern_b
"Schramm - Farbkörber pinkrot.jpg","Schramm Farbkörber",file_pattern_b
"Schramm - Kugelbuch Lettern.jpg","Schramm Kugelbuch Lettern",file_pattern_b
"Schramm - Offroad.jpg","Schramm Offroad",file_pattern_b
"Schramm Wilhelm - letterblock.jpg","Schramm Wilhelm",file_pattern_b
"Schramm Wilhelm, ""blue hedgehog"".jpg","Schramm Wilhelm",file_pattern_b
"Wilhelm Schramm - Himmel & Hölle - Himmel (1).jpg","Wilhelm Schramm Himmel",file_pattern_b
"Schramm - Wortgeflecht.jpg","Schramm Wortgeflecht",file_pattern_b
"AA_35 Story List.xml","Story List",file_pattern_b
"Bundespreis Ecodesign katalog.doc","Bundespreis Ecodesign",file_pattern_b
"Bundespreis Ecodesign.doc","Bundespreis Ecodesign",file_pattern_b
"Grassi_2018 Story List.xml","Story List",file_pattern_b
"1 Grassimesse 1. Korrektur_Anmerkungen_GRASSI-MAK.pdf","Korrektur Anmerkungen",file_pattern_b
"1 Marianne Heller_EN.doc","Marianne Heller",file_pattern_b
"3_Martinazzi_Vortrag_2007.doc","Martinazzi Vortrag",file_pattern_b
"Galerie_Soluna_Text.docx","Galerie Soluna Text",file_pattern_b
"Soluna Fine Arts_Engl_Anmerkungen_Klodt.doc","Soluna Fine Arts Engl",file_pattern_b
"Gastland_Korea_Engl.odt","Gastland Korea Engl",file_pattern_b
"Gastland_Tschechien - Text_Anmerkungen Klodt.doc","Gastland Tschechien Text Anmerkungen",file_pattern_b
"Gastland_Tschechien - Text.docx","Gastland Tschechien Text",file_pattern_b
"Gegen-Stand_Engl.doc","Gegen Stand Engl",file_pattern_b
"Hawk1 Text_Anmerkungen_Klodt.docx","Text Anmerkungen Klodt",file_pattern_b
"Hawk2_Engl_Anmerkungen_Klodt.docx","Engl Anmerkungen",file_pattern_b
"1 Vorwort Grassimesse 2018_Engl_Anmerkungen_Klodt.docx","Vorwort Grassimesse",file_pattern_b
"Wonjae Jo.jpg","Wonjae Jo",file_pattern_b
"Prangenberg Figur 1984.jpg","Prangenberg Figur",file_pattern_b
"Prangenberg Figur 2008-210.jpg","Prangenberg Figur",file_pattern_b
"Prangenberg Pastorale 2010.JPG","Prangenberg Pastorale",file_pattern_b
"Norbert Prangenberg_EN.doc","Norbert Prangenberg",file_pattern_b
"1 Sabine und Felix Müller.doc","Felix Müller",file_pattern_b
"0 Banderole-Katalog_E_v01_izo.pdf","Banderole Katalog",file_pattern_b
"Andersson_Elblinnen.docx","Andersson Elblinnen",file_pattern_b
"Andersson_Elblinnen.odt","Andersson Elblinnen",file_pattern_b
"Jünger_Kati.odt","Jünger Kati",file_pattern_b
"Kim_Young_I_.docx","Kim Young",file_pattern_b
"Kim_Young_I_.odt","Kim Young",file_pattern_b
"Krämer-Losereit.docx","Krämer Losereit",file_pattern_b
"Krämer-Losereit.odt","Krämer Losereit",file_pattern_b
"Kumi_Mood.odt","Kumi Mood",file_pattern_b
"Martinazzi_Engl.doc","Martinazzi Engl",file_pattern_b
" 3 Banderole-Katalog_R_v01_tl.pdf","Banderole Katalog",file_pattern_b
"Neuer Clip.textClipping","Neuer Clip",file_pattern_b
"Idar-Oberstein_Engl.doc","Idar Oberstein Engl",file_pattern_b
"Didascalie tutti premiati, medaglie e menzioni 62 Premio Faenza.docx","Premio Faenza",file_pattern_b
"62nd Faenza Prize.docx","Faenza Prize",file_pattern_b
"Wei-Bao-01.jpg","Wei Bao",file_pattern_b
"Yves Malfliet.jpg","Yves Malfliet",file_pattern_b
"m Frank Louis., Darling ..., I.tif","Frank Louis",file_pattern_b
"f Sarah_Pschorn_Gerhard_Marcks_Stipendium_Artist_Leipzig_2021-Foto_Jakob_Adolphi_0522_web02.jpg","Sarah Pschorn Gerhard",file_pattern_b
"n Cancellieri-Sara-01.tif","Cancellieri Sara",file_pattern_b
"Primo premio under 35 Wei-Bao-01.tif","Wei Bao",file_pattern_b
"62. Faenza-Preis deutsch.docx","Faenza Preis",file_pattern_b
"Britton_Bielander_139.jpg","Britton Bielander",file_pattern_b
"Britton_Bielander_147.jpg","Britton Bielander",file_pattern_b
"Britton_Bielander_151.jpg","Britton Bielander",file_pattern_b
"Britton_Bielander_162.jpg","Britton Bielander",file_pattern_b
"Britton_Bielander_171.jpg","Britton Bielander",file_pattern_b
"Nilufar Depot apr18-5788 Credits Amendolagine Barracchia..jpg","Nilufar Depot",file_pattern_b
"4_Cha_Pet_004.jpg","Cha Pet",file_pattern_b
"1_Cha_Pet_002.jpg","Cha Pet",file_pattern_b
"3_Cha_Pet_013_1989.jpg","Cha Pet",file_pattern_b
"eisleben 2014_luthersletztereise_West&Nord_Raumsituation_Steko.psd","Nord Raumsituation",file_pattern_b
"Lewandowsky_2003_Roter Teppich_Aufsicht.psd","Roter Teppich",file_pattern_b
"Metzger in Art Aurea 2018XXX mit Beschnitt NASOWAS 20180627.pdf","Art Aurea",file_pattern_b
"SESC Pompeia, São Paulo. 1977-86:: Sporthalle, 2014.tif","São Paulo",file_pattern_b
"Museu de Arte de São Paulo. 1957-68:: von Nordost, 2014.tif","São Paulo",file_pattern_b
"Brutto Gusto-nagel.pdf","Brutto Gusto",file_pattern_b
"Die Sammlerin und der Minimalist_AE.odt","Die Sammlerin",file_pattern_b
"Christopher-Kurtz-by-Jennifer-May-MedRes 2.jpg","Christopher Kurtz",file_pattern_b
"Christopher-Kurtz-by-Jennifer-May-MedRes 3.jpg","Christopher Kurtz",file_pattern_b
"Christopher-Kurtz-by-Jennifer-May-MedRes 4.jpg","Christopher Kurtz",file_pattern_b
"Screen Shot 2016-07-27 at 10.58.49 PM.png","Screen Shot",file_pattern_b
"Screen Shot 2016-07-27 at 10.59.30 PM.png","Screen Shot",file_pattern_b
"Screen Shot 2016-07-27 at 10.58.34 PM.png","Screen Shot",file_pattern_b
"Christopher-Kurtz-by-Jennifer-May-HR 1.jpg","Christopher Kurtz",file_pattern_b
"Screen Shot 2016-07-27 at 10.59.22 PM.png","Screen Shot",file_pattern_b
"Portrait Simone Pheulpin©sophie_Bassouls.jpg","Portrait Simone Pheulpin",file_pattern_b
"Deirdre-Mcloughlinbykato- tan.jpg","Deirdre Mcloughlinbykato",file_pattern_b
"2 Portrait Simone Pheulpin.jpg","Portrait Simone Pheulpin",file_pattern_b
"Simone Pheulpin.jpg","Simone Pheulpin",file_pattern_b
"BUs Lina Bo Bardi.odt","Lina Bo Bardi",file_pattern_b
"Legenden Keramische Horizonte_Fine's edits.doc","Legenden Keramische Horizonte Fine",file_pattern_b
