Filename,Size (KB),Size (bytes),Width,Height,Used In,Image ID,URL
"2024_vincent-van-hees-trauringe-tide.jpg",90,92495,1920,1260,0,"image-d8c5d04635a731de68b2e95fb0c1a62427062a7b-1920x1260-jpg","https://cdn.sanity.io/images/b8bczekj/production/d8c5d04635a731de68b2e95fb0c1a62427062a7b-1920x1260.jpg"
"20323_title_why-drink-of-a-glass-when-you-can-drink-from-the-bottle-by-artist-ingrid-askeland_date-2012.jpg",90,92583,1300,1920,0,"image-d17017661776c57e83aaeefa688c094b6098c464-1300x1920-jpg","https://cdn.sanity.io/images/b8bczekj/production/d17017661776c57e83aaeefa688c094b6098c464-1300x1920.jpg"
"7721_dong-hyun-kim-watering-neu.jpg",90,92589,1018,1260,1,"image-dc3353617a2dfe6d556ac837944a2db47735c7ff-1018x1260-jpg","https://cdn.sanity.io/images/b8bczekj/production/dc3353617a2dfe6d556ac837944a2db47735c7ff-1018x1260.jpg"
"4087_nicole-schuster-ring-change-2.jpg",90,92665,1920,1260,0,"image-4fb88027127257448786b4990e0ff2e8eba2fcd6-1920x1260-jpg","https://cdn.sanity.io/images/b8bczekj/production/4fb88027127257448786b4990e0ff2e8eba2fcd6-1920x1260.jpg"
"4690_michaela-binder-kette-rose.jpg",91,92683,1920,1260,0,"image-9398c5317265322a1c7a6c9a87568ccd714dacf9-1920x1260-jpg","https://cdn.sanity.io/images/b8bczekj/production/9398c5317265322a1c7a6c9a87568ccd714dacf9-1920x1260.jpg"
"23103_da_999_nugget_001.jpg",91,92688,1300,1920,0,"image-f196decd0c17c166e95a7c084aa991d62857e08c-1300x1920-jpg","https://cdn.sanity.io/images/b8bczekj/production/f196decd0c17c166e95a7c084aa991d62857e08c-1300x1920.jpg"
"46237_lena-baudler-tal20-preview.jpg",91,92699,1920,1301,0,"image-ae901f66d2b5aaf908e83b526fef6a71d6729314-1920x1301-jpg","https://cdn.sanity.io/images/b8bczekj/production/ae901f66d2b5aaf908e83b526fef6a71d6729314-1920x1301.jpg"
"58128_eva-strepp_schmuckdesign_creolen_ringe-pin_art-aurea-2.jpg",91,92701,1920,1300,0,"image-857f958deb3b458e1670ac6cf98a8ac5695b0610-1920x1300-jpg","https://cdn.sanity.io/images/b8bczekj/production/857f958deb3b458e1670ac6cf98a8ac5695b0610-1920x1300.jpg"
"56722_nicole-walger_zugeneigt.jpg",91,92704,1920,1300,0,"image-0b9c1fafd863fe7f82ed22046819a835e9f1521e-1920x1300-jpg","https://cdn.sanity.io/images/b8bczekj/production/0b9c1fafd863fe7f82ed22046819a835e9f1521e-1920x1300.jpg"
"1721_kathrin-saettele-ansteckschmuck2.jpg",91,92840,1920,1260,0,"image-f5289ad399c223a27c914b84bb0b06a03eb5467f-1920x1260-jpg","https://cdn.sanity.io/images/b8bczekj/production/f5289ad399c223a27c914b84bb0b06a03eb5467f-1920x1260.jpg"
"21372_hard3.jpg",91,92874,851,315,0,"image-5bee096fc57dcf64be6f3d76bf60d6f6ae9cf1d7-851x315-jpg","https://cdn.sanity.io/images/b8bczekj/production/5bee096fc57dcf64be6f3d76bf60d6f6ae9cf1d7-851x315.jpg"
"57796_sian-design_nio-ring_schmuckdesign_art-aurea.jpg",91,92875,1920,1300,0,"image-9ca177e38b6ab1f09b510baf9c1be0057e3eecc5-1920x1300-jpg","https://cdn.sanity.io/images/b8bczekj/production/9ca177e38b6ab1f09b510baf9c1be0057e3eecc5-1920x1300.jpg"
"59656_renate-erlacher_schmuckdesign_ring-3-2.jpg",91,92897,1920,1300,0,"image-eb544a68a831b7dc01c7781631bcd209a5ad514b-1920x1300-jpg","https://cdn.sanity.io/images/b8bczekj/production/eb544a68a831b7dc01c7781631bcd209a5ad514b-1920x1300.jpg"
"1746_leen-heyne-vorschau.jpg",91,92913,1920,1260,0,"image-e564aa61e07964493c00a0492535a92fe24b5a28-1920x1260-jpg","https://cdn.sanity.io/images/b8bczekj/production/e564aa61e07964493c00a0492535a92fe24b5a28-1920x1260.jpg"
"46890_006natalieluder_kleinmkuenzli_artaurea.jpg",91,92917,1000,1500,0,"image-3b36a62fc46b3a6e000318ea292bb0d1c2c8a67b-1000x1500-jpg","https://cdn.sanity.io/images/b8bczekj/production/3b36a62fc46b3a6e000318ea292bb0d1c2c8a67b-1000x1500.jpg"
"1906_stefanie-frye-halsschmuck-ohrschmuck.jpg",91,92937,1920,1260,0,"image-301b859b08f08fafe356f642149607d7d78873f2-1920x1260-jpg","https://cdn.sanity.io/images/b8bczekj/production/301b859b08f08fafe356f642149607d7d78873f2-1920x1260.jpg"
"26333_erich-zimmermann-06-snowflake.jpg",91,92967,1920,1300,0,"image-323b14a65efc014296344023d4da8467c81f5fd4-1920x1300-jpg","https://cdn.sanity.io/images/b8bczekj/production/323b14a65efc014296344023d4da8467c81f5fd4-1920x1300.jpg"
"23489_nc_pp_hr_diamond_03.jpg",91,92999,1300,1920,0,"image-427eae50222089a89721ed9fd8cf082b054abc42-1300x1920-jpg","https://cdn.sanity.io/images/b8bczekj/production/427eae50222089a89721ed9fd8cf082b054abc42-1300x1920.jpg"
"58288_galerie-fuer-angewandte-kunst_ulrike-kleine-behnke_schmuckkunst_brosche-orientierung.jpg",91,93009,1920,1300,0,"image-8fdba8ecc9b5d7d807c9586844fa175cf7902833-1920x1300-jpg","https://cdn.sanity.io/images/b8bczekj/production/8fdba8ecc9b5d7d807c9586844fa175cf7902833-1920x1300.jpg"
